Перший рівень,Другий рівень,Третій рівень,Четвертий рівень,Додатковий рівень,Категорія об’єкта,Назва об’єкта
UA01000000000013043,,,,,O,Автономна Республіка Крим
UA01000000000013043,UA01020000000022387,,,,P,Бахчисарайський
UA01000000000013043,UA01020000000022387,UA01020010000048857,,,H,Андріївська 
UA01000000000013043,UA01020000000022387,UA01020010000048857,UA01020010010075540,,C,Андріївка
UA01000000000013043,UA01020000000022387,UA01020010000048857,UA01020010020030666,,X,Сонячний
UA01000000000013043,UA01020000000022387,UA01020030000085835,,,H,Ароматненська 
UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030010043419,,C,Ароматне
UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030020095516,,C,Вікторівка
UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030030055891,,C,Маловидне
UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030040087481,,C,Рєпіне
UA01000000000013043,UA01020000000022387,UA01020030000085835,UA01020030050049624,,C,Розове
UA01000000000013043,UA01020000000022387,UA01020050000056842,,,H,Бахчисарайська 
UA01000000000013043,UA01020000000022387,UA01020050000056842,UA01020050010045207,,M,Бахчисарай
UA01000000000013043,UA01020000000022387,UA01020050000056842,UA01020050020067441,,T,Научний
UA01000000000013043,UA01020000000022387,UA01020070000057731,,,H,Верхньосадівська 
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070010032091,,C,Верхньосадове
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070020014815,,C,Дальнє
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070030047085,,C,Камишли
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070040094944,,C,Пироговка
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070050086891,,C,Поворотне
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070060053271,,C,Фронтове
UA01000000000013043,UA01020000000022387,UA01020070000057731,UA01020070070045196,,C,Фруктове
UA01000000000013043,UA01020000000022387,UA01020090000085519,,,H,Верхоріченська 
UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090010083010,,C,Верхоріччя
UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090020067096,,C,Баштанівка
UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090030041920,,C,Кудрине
UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090040049851,,C,Машине
UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090050034207,,C,Передущельне
UA01000000000013043,UA01020000000022387,UA01020090000085519,UA01020090060030677,,C,Синапне
UA01000000000013043,UA01020000000022387,UA01020110000025392,,,H,Вілінська 
UA01000000000013043,UA01020000000022387,UA01020110000025392,UA01020110010021583,,C,Віліне
UA01000000000013043,UA01020000000022387,UA01020110000025392,UA01020110020095792,,C,Розсадне
UA01000000000013043,UA01020000000022387,UA01020130000011846,,,H,Голубинська 
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130010087113,,C,Голубинка
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130020090866,,C,Аромат
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130030030071,,C,Багата Ущелина
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130040048667,,C,Нижня Голубинка
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130050032578,,C,Новопілля
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130060054004,,C,Поляна
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130070069789,,C,Путилівка
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130080078137,,C,Соколине
UA01000000000013043,UA01020000000022387,UA01020130000011846,UA01020130090090603,,C,Сонячносілля
UA01000000000013043,UA01020000000022387,UA01020150000013553,,,H,Долинненська 
UA01000000000013043,UA01020000000022387,UA01020150000013553,UA01020150010060092,,C,Долинне
UA01000000000013043,UA01020000000022387,UA01020150000013553,UA01020150020085470,,C,Актачи
UA01000000000013043,UA01020000000022387,UA01020150000013553,UA01020150030038136,,C,Новеньке
UA01000000000013043,UA01020000000022387,UA01020170000026113,,,H,Залізничненська 
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170010043902,,C,Залізничне
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170020089142,,C,Білокам’яне
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170030079411,,C,Дачне
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170040066352,,C,Мостове
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170050089604,,C,Річне
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170060067566,,C,Тургенєвка
UA01000000000013043,UA01020000000022387,UA01020170000026113,UA01020170070056496,,X,Сирень
UA01000000000013043,UA01020000000022387,UA01020190000077808,,,H,Зеленівська 
UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190010051671,,C,Зелене
UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190020045232,,C,Богатир
UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190030083840,,C,Многоріччя
UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190040049837,,C,Нагірне
UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190050073256,,C,Плотинне
UA01000000000013043,UA01020000000022387,UA01020190000077808,UA01020190060074109,,C,Щасливе
UA01000000000013043,UA01020000000022387,UA01020210000031011,,,H,Інкерманська 
UA01000000000013043,UA01020000000022387,UA01020210000031011,UA01020210010017308,,M,Інкерман
UA01000000000013043,UA01020000000022387,UA01020230000086125,,,H,Качинська 
UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230010099876,,T,Кача
UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230020084271,,C,Вишневе
UA01000000000013043,UA01020000000022387,UA01020230000086125,UA01020230030045170,,C,Орлівка
